,MCC,Precision,Recall,Specificity,F1,Accuracy,AUC
SVM+RF+kNN,0.8224,0.8571,0.8182,0.987,0.8372,0.9723,0.9863
SVM+RF+LR,0.7637,0.8421,0.7273,0.987,0.7805,0.9644,0.9853
SVM+RF+MLP,0.8224,0.8571,0.8182,0.987,0.8372,0.9723,0.9848
SVM+RF+AdaBoost,0.8224,0.8571,0.8182,0.987,0.8372,0.9723,0.9848
SVM+RF+XGBoost,0.8295,0.8261,0.8636,0.9827,0.8444,0.9723,0.9861
