[6249] system-crash-no O /home/capstone//.local/share/icons/hicolor//index.theme
[6249] system-crash-no O /home/capstone//.icons/hicolor/cursors/
[6249] system-crash-no O /home/capstone//.icons/hicolor//index.theme
[6249] system-crash-no O /home/capstone//.cursors/hicolor/cursors/
[6249] system-crash-no O /home/capstone//.cursors/hicolor//index.theme
[6249] system-crash-no O /home/capstone/.cache/fontconfig//4c599c202bc5c08e2d34565a40eac3b2-le64.cache-9
[6249] system-crash-no O /home/capstone/.fontconfig//4c599c202bc5c08e2d34565a40eac3b2-le64.cache-9
[6249] system-crash-no O /home/capstone/.cache/fontconfig//4c599c202bc5c08e2d34565a40eac3b2-le64.cache-9
[6249] system-crash-no O /home/capstone/.fontconfig//4c599c202bc5c08e2d34565a40eac3b2-le64.cache-9
[6249] system-crash-no C /home/capstone/.cache/fontconfig/CACHEDIR.TAG.TMP-JSVdZs
[6249] system-crash-no D /home/capstone/.cache/fontconfig/CACHEDIR.TAG.TMP-JSVdZs
[6249] system-crash-no D /home/capstone/.cache/fontconfig/CACHEDIR.TAG.NEW
[6249] system-crash-no C /home/capstone/.cache/fontconfig/CACHEDIR.TAG.NEW
[6249] system-crash-no D /home/capstone/.cache/fontconfig/CACHEDIR.TAG.LCK
[6249] system-crash-no C /home/capstone/.cache/fontconfig//4c599c202bc5c08e2d34565a40eac3b2-le64.cache-9.TMP-9AWYUz
[6249] system-crash-no D /home/capstone/.cache/fontconfig//4c599c202bc5c08e2d34565a40eac3b2-le64.cache-9.TMP-9AWYUz
[6249] system-crash-no D /home/capstone/.cache/fontconfig//4c599c202bc5c08e2d34565a40eac3b2-le64.cache-9.NEW
[6249] system-crash-no C /home/capstone/.cache/fontconfig//4c599c202bc5c08e2d34565a40eac3b2-le64.cache-9.NEW
[6249] system-crash-no D /home/capstone/.cache/fontconfig//4c599c202bc5c08e2d34565a40eac3b2-le64.cache-9.LCK
[6249] system-crash-no O /home/capstone/.cache/fontconfig//3830d5c3ddfd5cd38a049b759396e72e-le64.cache-9
[6249] system-crash-no O /home/capstone/.fontconfig//3830d5c3ddfd5cd38a049b759396e72e-le64.cache-9
[6249] system-crash-no O /home/capstone/.cache/fontconfig//3830d5c3ddfd5cd38a049b759396e72e-le64.cache-9
[6249] system-crash-no O /home/capstone/.fontconfig//3830d5c3ddfd5cd38a049b759396e72e-le64.cache-9
[6249] system-crash-no C /home/capstone/.cache/fontconfig//3830d5c3ddfd5cd38a049b759396e72e-le64.cache-9.TMP-OApdtN
[6249] system-crash-no D /home/capstone/.cache/fontconfig//3830d5c3ddfd5cd38a049b759396e72e-le64.cache-9.TMP-OApdtN
