[449] systemd-udevd D /run/udev/queue
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000440.html.dkrpx75
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000517.gif.dkrpx75
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000517.gif.dkrpx75
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000574.pdf.dkrpx75
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000574.pdf.dkrpx75
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000872.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000961.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000943.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000469.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000913.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000926.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000677.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000171.xls
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000492.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000745.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000134.ppt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000414.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000603.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000267.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000657.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000899.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000399.xls
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000063.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000052.xls
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000190.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000518.ppt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000339.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000526.gif
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000369.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000479.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000478.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000862.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000813.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000509.jpg.dkrpx75
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000509.jpg.dkrpx75
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000098.txt.dkrpx75
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000098.txt.dkrpx75
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000986.ppt.dkrpx75
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000986.ppt.dkrpx75
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000255.doc.dkrpx75
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000255.doc.dkrpx75
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000800.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000246.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000693.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000089.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000074.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000535.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000781.xls
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000436.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000164.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000173.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000711.ppt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000239.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000003.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000594.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000416.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000730.ps
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000812.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000030.xls
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000292.ppt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000358.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000747.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000221.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000850.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000079.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000689.csv
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000018.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000066.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000641.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000198.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000359.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000388.xls
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000192.html
