[449] systemd-udevd D /run/udev/queue
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000729.ppt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000746.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000437.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000286.doc
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000939.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000204.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000180.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000131.doc
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000588.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000509.jpg.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000509.jpg.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000098.txt.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000556.txt
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000098.txt.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000986.ppt.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000986.ppt.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000372.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000231.jpg.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000231.jpg.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000825.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000189.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000962.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000156.doc
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000138.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000729.ppt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000513.jpg
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000716.ppt.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000716.ppt.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000255.doc.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000255.doc.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000174.ppt.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000174.ppt.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000355.pdf.nnvjxgy
