[449] systemd-udevd D /run/udev/queue
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000131.doc.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000730.ps
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000372.pdf.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000372.pdf.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000812.html
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000030.xls
[4620] 3a08e3bfec2db5d D /home/capstone/project/test_files/checkpoints-000084.txt.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000030.xls
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000292.ppt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000358.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000556.txt.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000556.txt.nnvjxgy
[4620] 3a08e3bfec2db5d D /home/capstone/project/test_files/checkpoints-000379.pdf.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000513.jpg.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000513.jpg.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000747.pdf
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000188.html.nnvjxgy
[4620] 3a08e3bfec2db5d C /home/capstone/project/test_files/checkpoints-000188.html.nnvjxgy
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000221.txt
[4620] 3a08e3bfec2db5d O /home/capstone/project/test_files/000590.pdf.nnvjxgy
