num_readable_segments,num_segments_actual,num_executable_sections,num_program_headers_declared,num_load_segments,num_executable_segments,avg_segment_memsz,entry_point,max_segment_filesz,text_ratio,data_size,avg_segment_filesz,max_segment_memsz,file_size,bss_ratio,max_section_size,rodata_ratio,data_ratio,elf_type_ET_DYN,avg_section_size,rodata_size,text_size,num_sections_declared,num_writable_sections,has_got_plt,bss_size,num_alloc_sections,num_sections_actual,num_known_sections,num_unusual_sections,elf_type_ET_EXEC,has_unusual_section,is_stripped,has_strtab,has_plt,has_symtab,has_bss,has_rodata,machine_EM_X86_64,is_64bit,byte_f_146,byte_f_205,byte_f_3,byte_f_204,byte_f_298,byte_f_176,byte_f_162,byte_f_237,byte_f_58,byte_f_202,byte_f_210,byte_f_143,byte_f_228,byte_f_31,byte_f_91,byte_f_41,byte_f_73,byte_f_75,byte_f_177,byte_f_159,byte_f_278,byte_f_242,byte_f_155,byte_f_261,byte_f_118,byte_f_208,byte_f_209,byte_f_66,byte_f_154,byte_f_4,byte_f_114,byte_f_230,byte_f_122,byte_f_116,byte_f_67,byte_f_250,byte_f_260,byte_f_46,byte_f_273,byte_f_251,byte_f_9,byte_f_151,byte_f_33,byte_f_112,byte_f_282,byte_f_51,byte_f_142,byte_f_279,byte_f_125,byte_f_200,byte_f_115,byte_f_26,byte_f_22,byte_f_196,byte_f_59,byte_f_34,byte_f_117,byte_f_15,byte_f_156,byte_f_145,byte_f_23,byte_f_93,byte_f_124,byte_f_193,byte_f_126,byte_f_55,byte_f_38,byte_f_10,byte_f_111,byte_f_42,byte_f_215,byte_f_231,byte_f_206,byte_f_16,byte_f_149,byte_f_139,byte_f_57,byte_f_37,byte_f_32,byte_f_79,opcode_f_238,opcode_f_233,opcode_f_225,opcode_f_218,opcode_f_234,opcode_f_229,opcode_f_43,opcode_f_235,opcode_f_305,opcode_f_333,opcode_f_110,opcode_f_50,opcode_f_150,opcode_f_73,opcode_f_492,opcode_f_160,opcode_f_330,opcode_f_75,opcode_f_100,opcode_f_117,opcode_f_179,opcode_f_332,opcode_f_136,opcode_f_51,opcode_f_176,opcode_f_25,opcode_f_47,opcode_f_169,opcode_f_5,opcode_f_52,opcode_f_464,opcode_f_257,opcode_f_227,opcode_f_97,opcode_f_11,opcode_f_467,opcode_f_38,opcode_f_253,opcode_f_0,opcode_f_329,opcode_f_172,opcode_f_30,opcode_f_112,opcode_f_248,opcode_f_279,opcode_f_334,opcode_f_26,opcode_f_60,opcode_f_77,opcode_f_105,opcode_f_350,opcode_f_390,opcode_f_438,opcode_f_426,opcode_f_413,opcode_f_12,opcode_f_387,opcode_f_418,opcode_f_64,opcode_f_107,opcode_f_32,opcode_f_101,opcode_f_321,opcode_f_111,opcode_f_59,opcode_f_182,opcode_f_87,opcode_f_135,opcode_f_424,opcode_f_22,opcode_f_420,opcode_f_193,opcode_f_204,opcode_f_281,opcode_f_360,opcode_f_288,opcode_f_3,opcode_f_371,opcode_f_130,opcode_f_314,label
8,8,4,8.0,2,2,7769.0,4198880.0,57492,0.7746424923391215,2208,7761.0,57492,62656,0.0010214504596527,48536,0.0239083248212461,0.0352400408580183,False,2155.8928571428573,1498,48536,28.0,8,1,64,25,28,27,1,True,1,1,0,1,0,1,1,True,1.0,43,0,22,0,53,63,68,40,307,2,56,0,0,136,121,260,752,56,115,807,0,99,0,0,0,32,868,2,0,983,453,0,0,3,2,1,43,10,181,0,681,9,2,0,6,16,0,0,0,0,0,5,136,3,2,482,0,225,40,1,2,59,0,2,0,10,26,2,0,18,4,7,3,4,306,18,0,14,2,6,0,0,0,0,0,0,42,0,35,45,132,3,0,6,57,1,21,0,253,43,13,45,72,19,42,46,31,0,214,10,0,3,59,65,480,33,66,100,1128,46,21,278,80,0,23,100,522,12,0,24,2,0,6,33,3,111,52,10,1,4,0,5,1,227,1,0,1,52,4,215,0,1,7,8,28,0,188,0,0,3,1
8,8,4,8.0,2,2,8748.0,4198880.0,65300,0.6863122171945701,2208,8740.0,65300,70720,0.0009049773755656,48536,0.1315893665158371,0.0312217194570135,False,2434.785714285714,9306,48536,28.0,8,1,64,25,28,27,1,True,1,1,0,1,0,1,1,True,1.0,43,0,26,0,54,63,68,40,306,3,56,0,0,137,121,260,753,56,115,806,0,99,0,0,0,32,868,2,0,983,453,0,0,3,2,1,43,10,181,0,681,9,2,0,6,16,0,0,0,0,0,5,136,3,2,482,0,226,40,1,2,60,0,2,0,10,26,2,0,18,4,7,3,4,306,18,0,14,2,6,0,0,0,0,0,0,42,0,35,45,132,3,0,6,58,1,21,0,253,43,13,45,72,19,42,46,31,0,213,10,0,3,59,65,480,33,66,100,1129,46,21,278,80,0,23,100,522,12,0,24,2,0,6,33,3,111,52,10,1,4,0,5,1,227,1,0,1,52,4,215,0,1,6,8,28,0,189,0,0,3,1
9,9,5,9.0,2,2,4939.555555555556,4199765.0,41372,0.4834870075440067,80,4932.444444444444,41372,47720,0.0013411567476948,23072,0.2370494551550712,0.0016764459346186,False,1453.8620689655172,11312,23072,29.0,8,1,64,26,29,28,1,True,1,1,0,1,0,1,1,True,1.0,2,0,0,0,8,8,0,6,3,2,10,0,0,44,3,9,1,2,9,9,2,100,12,1,15,4,27,0,12,98,35,19,0,10,0,12,3,3,0,0,168,10,3,0,0,1,19,2,19,1,1,5,39,0,2,37,15,12,2,0,0,46,19,2,278,10,3,13,20,22,6,7,7,6,5,92,13,28,3,27,0,0,0,0,0,0,10,0,7,43,94,3,24,8,5,2,18,37,331,7,6,44,3,3,13,5,19,0,11,10,0,2,0,8,21,2,6,5,247,44,5,76,18,0,6,14,58,9,13,13,0,0,0,3,1,13,0,0,2,11,20,0,1,111,6,4,19,9,35,80,0,1,0,0,51,2,89,9,9,0,1
13,13,6,13.0,4,1,1897.3076923076924,10432.0,12005,0.3324692780337941,240,1893.6153846153843,12005,31248,0.0010240655401945,10389,0.025889656938044,0.0076804915514592,True,715.2666666666667,809,10389,30.0,6,0,32,26,30,29,1,False,1,1,0,1,0,1,1,True,1.0,0,143,0,143,13,1,1,8,12,2,14,13,3,29,2,2,0,2,0,10,18,7,14,10,20,17,9,69,14,140,29,29,36,16,69,73,0,2,2,83,81,4,36,0,0,3,23,18,29,17,5,74,23,0,20,46,20,32,0,11,0,8,29,56,13,3,2,79,32,46,5,2,3,3,7,22,33,27,36,8,47,48,49,50,48,48,4,48,0,0,1,27,29,0,1,0,0,6,0,0,0,0,0,5,0,25,1,13,19,5,3,0,0,0,4,0,8,0,112,0,0,7,0,15,0,0,11,2,25,10,0,1,0,0,6,7,0,0,6,27,27,0,0,2,1,18,9,0,0,47,12,2,1,0,0,0,69,4,1,0,0
13,13,6,13.0,4,1,2474.538461538461,20688.0,13029,0.2486089030206677,272,2462.230769230769,13029,35224,0.0045423574835339,8757,0.0349761526232114,0.0077220077220077,True,976.3448275862067,1232,8757,29.0,6,0,160,26,29,28,1,False,1,1,0,1,0,1,1,True,1.0,0,279,0,279,8,3,0,0,112,1,16,21,9,16,2,0,0,4,0,26,10,13,4,3,4,2,2,140,4,46,27,5,61,18,140,144,0,2,1,146,181,17,8,14,0,16,6,10,5,10,4,145,75,0,7,26,4,75,0,6,5,12,5,136,0,6,2,154,8,29,1,3,1,3,75,19,15,18,8,7,130,131,132,133,131,131,1,131,0,0,7,17,25,0,0,0,1,9,2,0,1,0,0,1,0,5,0,5,12,1,1,1,0,0,1,0,2,0,106,0,0,20,0,0,0,0,18,1,18,1,1,1,0,0,6,1,0,0,1,2,6,0,0,1,1,2,1,0,1,30,3,16,0,0,0,0,188,9,1,1,0
13,13,6,13.0,4,1,12017.615384615385,33744.0,71713,0.4091297591297591,392,11966.53846153846,71713,154440,0.0041440041440041,63186,0.0938875938875938,0.0025382025382025,True,4607.53125,14500,63186,32.0,7,0,640,28,32,29,3,False,1,1,0,1,0,1,1,True,1.0,0,806,0,806,38,4,0,12,196,2,72,484,89,104,14,2,68,30,0,44,83,27,73,64,156,21,27,435,73,240,66,216,327,307,435,389,24,14,2,431,815,20,228,311,0,59,81,82,216,95,46,460,271,0,140,104,157,238,0,148,22,29,218,310,708,17,16,105,128,137,15,26,22,18,125,35,144,216,228,24,261,262,267,268,262,266,2,262,0,0,21,174,97,4,0,0,0,167,4,2,0,0,6,1,0,94,0,107,90,22,44,0,0,0,11,0,55,0,443,0,0,48,0,49,0,0,70,189,100,34,0,5,2,0,39,11,0,0,31,172,209,0,1,9,9,143,74,0,0,171,120,108,0,1,0,20,650,57,4,5,0
13,13,6,13.0,4,1,2939.153846153846,12592.0,15125,0.3459278561209891,96,2594.538461538461,15125,39144,0.1144492131616595,13541,0.1796443899448191,0.0024524831391784,True,1208.448275862069,7032,13541,29.0,6,0,4480,26,29,28,1,False,1,1,0,1,0,1,1,True,1.0,0,105,0,105,8,11,0,1,3,0,10,62,7,25,0,5,0,6,0,23,12,11,7,22,9,12,37,74,7,63,49,15,57,13,74,55,1,3,1,57,118,7,24,63,0,6,12,12,15,32,0,80,14,0,17,66,9,52,0,24,4,42,15,56,234,3,0,104,14,49,0,4,1,4,5,12,3,21,24,8,46,47,48,49,47,47,1,47,0,0,0,29,14,1,0,0,0,15,0,0,0,0,1,1,0,16,2,5,20,1,2,0,0,0,1,0,4,0,65,0,0,6,0,1,0,0,13,11,10,7,0,1,0,0,9,8,0,0,10,9,16,0,1,1,1,9,3,0,0,29,0,6,0,0,0,1,66,2,6,0,0
13,13,6,13.0,4,1,2700.692307692308,10064.0,15233,0.3509781944161402,128,2664.3846153846152,15233,39256,0.01202363969839,13778,0.1429590381088241,0.0032606480538006,True,1048.7333333333331,5612,13778,30.0,7,0,472,27,30,28,2,False,1,1,0,1,0,1,1,True,1.0,1,160,0,160,17,1,0,8,14,2,16,11,23,25,2,2,0,3,0,11,23,9,13,19,14,7,7,76,13,76,41,22,39,16,76,83,2,4,1,94,90,7,48,25,0,6,12,23,22,27,40,83,20,0,25,44,14,17,1,24,1,25,22,58,11,41,9,86,16,79,4,8,8,6,6,31,21,23,48,12,42,43,44,44,43,43,3,43,0,0,6,6,17,0,0,0,0,4,2,0,2,0,0,7,0,13,4,14,22,0,1,0,0,0,5,0,4,1,176,0,0,17,0,3,0,0,19,1,23,8,0,6,0,0,5,3,2,0,12,27,20,0,1,4,3,7,10,3,0,53,13,6,1,0,0,2,35,9,1,0,0
13,13,6,13.0,4,1,561.9230769230769,5056.0,2400,0.0699199337382661,16,557.0,2400,14488,0.0033130866924351,1013,0.0071093318608503,0.0011043622308117,True,160.51724137931035,103,1013,29.0,6,0,48,26,29,28,1,False,1,1,0,1,0,1,1,True,1.0,0,34,0,34,5,1,0,0,0,0,6,4,1,2,0,0,0,2,0,7,6,17,1,4,1,0,0,17,1,22,5,1,6,6,17,20,0,2,0,22,7,0,3,2,0,3,2,6,1,4,0,20,0,0,1,9,1,3,0,4,0,1,1,14,0,0,0,16,2,45,2,1,0,3,0,7,1,5,3,8,11,12,13,14,12,12,0,12,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,2,0,5,0,0,1,0,0,0,0,0,1,4,1,0,2,0,0,1,0,0,0,1,2,1,0,1,0,1,0,1,0,0,1,1,2,0,0,0,0,3,1,1,0,0
13,13,6,13.0,4,1,951.4615384615385,6944.0,3685,0.1915055248618784,8,945.9230769230768,3685,14480,0.0033149171270718,2773,0.0962707182320442,0.0005524861878453,True,329.86206896551727,1394,2773,29.0,6,0,48,26,29,28,1,False,1,1,0,1,0,1,1,True,1.0,0,63,0,63,8,0,0,1,1,1,9,8,14,4,1,1,0,1,0,5,7,16,2,3,4,2,1,29,2,29,8,5,3,5,29,36,2,2,2,37,28,1,8,18,0,4,3,7,5,4,2,32,10,0,4,21,4,11,0,4,0,3,5,31,20,2,0,39,2,53,1,0,2,3,0,11,1,13,8,7,25,26,27,28,26,26,1,26,0,0,0,7,2,0,0,0,0,3,0,0,0,0,0,0,0,4,0,1,9,0,1,0,0,0,0,0,1,0,18,0,0,2,0,1,0,1,1,4,2,0,0,1,0,0,2,0,0,0,3,4,4,0,0,0,1,1,0,0,0,9,0,1,0,0,0,0,17,1,1,0,0
