num_readable_segments,num_segments_actual,num_executable_sections,num_program_headers_declared,num_load_segments,num_executable_segments,avg_segment_memsz,entry_point,max_segment_filesz,text_ratio,data_size,avg_segment_filesz,max_segment_memsz,file_size,bss_ratio,max_section_size,rodata_ratio,data_ratio,elf_type_ET_DYN,avg_section_size,rodata_size,text_size,num_sections_declared,num_writable_sections,has_got_plt,bss_size,num_alloc_sections,num_sections_actual,num_known_sections,num_unusual_sections,elf_type_ET_EXEC,has_unusual_section,is_stripped,has_strtab,has_plt,has_symtab,has_bss,has_rodata,machine_EM_X86_64,is_64bit,byte_f_146,byte_f_205,byte_f_3,byte_f_204,byte_f_298,byte_f_176,byte_f_162,byte_f_237,byte_f_58,byte_f_202,byte_f_210,byte_f_143,byte_f_228,byte_f_31,byte_f_91,byte_f_41,byte_f_73,byte_f_75,byte_f_177,byte_f_159,byte_f_278,byte_f_242,byte_f_155,byte_f_261,byte_f_118,byte_f_208,byte_f_209,byte_f_66,byte_f_154,byte_f_4,byte_f_114,byte_f_230,byte_f_122,byte_f_116,byte_f_67,byte_f_250,byte_f_260,byte_f_46,byte_f_273,byte_f_251,byte_f_9,byte_f_151,byte_f_33,byte_f_112,byte_f_282,byte_f_51,byte_f_142,byte_f_279,byte_f_125,byte_f_200,byte_f_115,byte_f_26,byte_f_22,byte_f_196,byte_f_59,byte_f_34,byte_f_117,byte_f_15,byte_f_156,byte_f_145,byte_f_23,byte_f_93,byte_f_124,byte_f_193,byte_f_126,byte_f_55,byte_f_38,byte_f_10,byte_f_111,byte_f_42,byte_f_215,byte_f_231,byte_f_206,byte_f_16,byte_f_149,byte_f_139,byte_f_57,byte_f_37,byte_f_32,byte_f_79,opcode_f_238,opcode_f_233,opcode_f_225,opcode_f_218,opcode_f_234,opcode_f_229,opcode_f_43,opcode_f_235,opcode_f_305,opcode_f_333,opcode_f_110,opcode_f_50,opcode_f_150,opcode_f_73,opcode_f_492,opcode_f_160,opcode_f_330,opcode_f_75,opcode_f_100,opcode_f_117,opcode_f_179,opcode_f_332,opcode_f_136,opcode_f_51,opcode_f_176,opcode_f_25,opcode_f_47,opcode_f_169,opcode_f_5,opcode_f_52,opcode_f_464,opcode_f_257,opcode_f_227,opcode_f_97,opcode_f_11,opcode_f_467,opcode_f_38,opcode_f_253,opcode_f_0,opcode_f_329,opcode_f_172,opcode_f_30,opcode_f_112,opcode_f_248,opcode_f_279,opcode_f_334,opcode_f_26,opcode_f_60,opcode_f_77,opcode_f_105,opcode_f_350,opcode_f_390,opcode_f_438,opcode_f_426,opcode_f_413,opcode_f_12,opcode_f_387,opcode_f_418,opcode_f_64,opcode_f_107,opcode_f_32,opcode_f_101,opcode_f_321,opcode_f_111,opcode_f_59,opcode_f_182,opcode_f_87,opcode_f_135,opcode_f_424,opcode_f_22,opcode_f_420,opcode_f_193,opcode_f_204,opcode_f_281,opcode_f_360,opcode_f_288,opcode_f_3,opcode_f_371,opcode_f_130,opcode_f_314,label
13,13,6,13.0,4,1,1633.923076923077,10352.0,9989,0.2808542258981649,20,1629.3076923076924,9989,30952,0.0015507883173946,8693,0.016283277332644,0.0006461617989144,True,600.3,504,8693,30.0,7,0,48,27,30,28,2,False,1,1,0,1,0,1,1,True,1.0,0,119,0,119,10,0,0,3,5,0,11,9,3,13,0,2,0,3,0,17,20,6,13,15,31,3,14,67,15,69,21,40,33,13,67,64,0,2,0,67,37,2,35,7,0,3,15,20,40,29,4,71,13,0,21,41,33,10,0,17,0,12,42,43,0,2,3,67,21,43,7,1,1,4,3,11,15,18,35,8,37,38,39,40,38,38,0,38,0,0,2,9,13,0,1,0,1,4,0,2,0,0,0,2,0,14,0,17,10,0,2,0,0,0,3,0,2,1,66,0,1,3,0,3,0,0,6,1,9,4,0,2,0,0,13,3,0,0,8,28,39,0,0,2,2,12,7,8,0,27,16,5,0,0,0,3,20,21,3,0,0
13,13,6,13.0,4,1,9107.46153846154,24912.0,71217,0.5408300524934383,720,9027.46153846154,71217,121920,0.0083989501312335,65938,0.082144028871391,0.0059055118110236,True,3603.129032258064,10015,65938,31.0,7,0,1024,27,31,29,2,False,1,1,0,1,0,1,1,True,1.0,0,542,0,542,28,6,0,8,102,3,37,173,27,151,9,23,7,21,2,89,109,47,53,111,76,32,74,357,53,368,157,110,216,124,357,274,26,14,11,318,517,32,227,42,0,33,73,109,110,168,28,383,180,0,118,250,77,167,0,150,21,86,113,214,1,22,26,213,89,172,23,12,43,5,49,37,99,174,227,17,161,162,164,165,162,163,2,162,8,0,15,132,115,4,1,1,0,21,16,9,6,0,3,5,1,67,1,75,72,12,12,1,0,3,23,0,24,9,436,0,1,47,3,30,1,5,66,4,131,17,0,13,2,0,17,43,4,0,43,56,113,0,1,33,13,69,51,9,0,167,32,41,3,0,0,18,360,54,23,2,0
13,13,6,13.0,4,1,3977.923076923077,11072.0,31205,0.5296375036033439,72,3879.4615384615386,31205,55504,0.0226289997117324,29397,0.0741568175266647,0.0012972038051311,True,1651.2413793103449,4116,29397,29.0,6,0,1256,26,29,28,1,False,1,1,0,1,0,1,1,True,1.0,0,197,0,197,19,5,0,14,18,1,24,100,8,77,6,21,14,17,2,44,55,10,28,57,40,27,32,159,28,178,66,53,47,60,159,99,3,11,3,114,174,11,108,22,0,41,32,55,53,92,2,165,43,0,52,105,40,63,0,73,2,59,53,70,68,14,9,164,45,83,2,4,6,12,19,25,19,60,108,13,53,54,55,56,54,54,1,54,0,0,6,52,12,0,0,0,0,17,2,1,1,0,1,2,0,24,0,36,42,7,6,2,0,0,11,0,12,0,212,0,0,16,1,7,0,1,23,20,12,7,0,5,0,0,15,23,0,0,21,27,58,0,2,4,5,22,22,3,0,45,11,32,1,0,0,7,114,3,11,0,0
13,13,6,13.0,4,1,1101.6153846153843,11120.0,5368,0.1133127921801954,28,1100.076923076923,5368,18824,0.0008499787505312,2133,0.0208244793880153,0.0014874628134296,True,357.3225806451613,392,2133,31.0,7,0,16,27,31,29,2,False,1,1,0,1,0,1,1,True,1.0,0,110,0,110,11,1,0,0,7,0,12,14,1,4,1,0,1,2,1,19,6,12,3,3,3,2,4,54,3,22,32,3,10,6,54,60,0,2,0,61,42,0,6,1,0,6,4,6,3,1,2,57,15,0,5,29,3,15,0,4,1,0,3,52,0,1,2,55,5,27,1,1,2,3,6,9,4,12,6,8,48,49,50,51,49,49,1,49,0,0,2,10,6,0,0,0,0,1,1,0,0,0,0,1,0,2,0,2,6,0,1,0,0,0,0,0,1,0,14,0,0,1,0,2,0,0,0,1,7,1,1,1,0,0,1,0,0,0,1,3,3,0,0,1,2,3,1,0,0,4,3,1,0,0,0,0,34,3,1,0,0
11,11,5,11.0,4,1,923.0,5264.0,3117,0.189963908939478,16,919.3636363636364,3117,14408,0.0016657412548584,2737,0.0396307606885063,0.0011104941699056,True,272.57142857142856,571,2737,28.0,7,0,24,25,28,27,1,False,1,1,0,1,0,1,1,True,1.0,0,0,0,0,7,5,0,1,0,0,11,8,2,11,0,0,0,4,1,11,7,13,3,5,3,2,0,6,3,52,10,3,12,4,6,0,0,4,0,0,20,4,8,6,0,3,1,7,3,7,1,12,5,0,4,12,3,9,0,4,0,22,3,2,17,5,0,14,3,40,4,2,0,4,4,12,5,4,8,7,0,0,0,0,0,0,0,0,0,18,0,6,11,0,0,0,0,2,0,0,0,19,0,0,0,5,0,4,12,1,2,0,0,0,0,0,3,0,21,19,0,6,0,2,0,0,2,1,12,2,0,1,0,0,5,0,0,0,1,6,5,0,0,3,1,1,1,0,0,17,0,3,1,0,0,0,8,4,2,0,0
13,13,6,13.0,4,1,2828.692307692308,10496.0,17121,0.3576766931168112,128,2794.846153846154,17121,43352,0.0101494740727071,15506,0.1049778556929322,0.0029525742756966,True,1097.3,4551,15506,30.0,7,0,440,27,30,28,2,False,1,1,0,1,0,1,1,True,1.0,1,171,0,171,12,1,0,8,17,1,16,13,24,32,2,2,0,4,0,16,26,24,15,22,18,10,7,83,15,94,56,24,42,18,83,86,3,2,2,99,116,2,55,24,0,5,17,26,24,31,40,87,29,0,25,59,18,25,1,28,10,26,24,60,25,41,10,92,19,77,2,15,7,4,10,31,24,24,56,11,47,48,49,49,48,48,5,48,0,0,5,9,18,0,0,0,0,4,2,0,2,0,0,7,0,15,5,16,26,0,1,0,0,0,5,0,6,1,193,0,0,19,0,5,0,1,20,2,21,10,2,6,0,0,4,3,2,0,10,25,22,0,1,4,4,9,11,3,0,67,13,7,1,0,0,2,42,8,1,0,0
13,13,6,13.0,4,1,5383.461538461538,11664.0,18789,0.3855546723193782,1974,2903.3076923076924,35120,45288,0.7117117117117117,32232,0.1470588235294117,0.0435877053524112,True,2232.0666666666666,6660,17461,30.0,6,0,32232,26,30,29,1,False,1,1,0,1,0,1,1,True,1.0,0,113,0,113,11,2,0,4,2,0,9,14,8,30,2,11,1,9,3,33,27,11,17,14,20,6,27,75,17,74,58,23,77,15,75,62,2,2,1,68,141,17,50,17,0,6,22,27,22,43,7,79,26,0,23,73,20,57,0,31,2,40,22,49,778,5,4,87,26,41,4,5,10,4,5,16,22,23,50,7,38,39,40,41,39,39,1,39,3,0,9,16,26,3,0,2,3,4,11,7,0,0,4,2,0,23,2,14,20,5,2,2,0,0,5,0,11,1,200,0,4,13,1,2,1,0,18,5,55,13,0,1,0,0,12,5,0,0,19,33,21,0,1,1,3,7,17,2,0,56,8,3,0,0,0,0,75,2,9,1,0
11,11,5,11.0,4,1,931.7272727272727,5456.0,3229,0.1977373681288173,16,928.0909090909092,3229,14408,0.0016657412548584,2849,0.0407412548584119,0.0011104941699056,True,276.2142857142857,587,2849,28.0,7,0,24,25,28,27,1,False,1,1,0,1,0,1,1,True,1.0,0,0,0,0,8,4,0,0,0,0,11,7,2,9,0,0,0,4,1,11,8,13,3,7,3,2,0,8,3,52,10,3,20,4,8,2,1,4,0,0,15,3,7,4,0,3,3,8,3,8,0,13,2,0,5,22,3,9,0,4,0,21,3,3,1,0,0,16,4,41,2,1,0,4,4,12,6,4,7,6,0,0,0,0,0,0,0,0,0,18,0,6,18,0,0,0,0,2,0,0,0,19,0,0,0,5,0,4,9,1,2,0,0,0,0,0,3,0,28,19,0,9,0,2,0,0,4,1,17,0,0,1,0,0,5,0,0,0,1,6,5,0,0,3,1,1,1,0,0,20,0,4,0,0,0,0,10,7,2,0,0
13,13,6,13.0,4,1,1077.0,5200.0,5765,0.2673314846416382,16,1067.7692307692307,5765,18752,0.0055460750853242,5013,0.0697525597269624,0.0008532423208191,True,378.9333333333333,1308,5013,30.0,6,0,104,26,30,29,1,False,1,1,0,1,0,1,1,True,1.0,0,56,0,56,13,0,0,0,0,0,9,8,3,8,0,0,0,2,0,6,10,10,4,5,4,5,11,34,4,35,2,4,36,7,34,29,0,2,1,31,19,3,9,2,0,5,5,10,4,12,0,37,4,0,6,17,4,6,0,8,1,4,4,25,46,0,0,47,4,52,2,2,0,3,4,13,7,5,9,7,20,21,22,23,21,21,1,21,0,0,1,5,7,4,0,0,0,1,0,1,2,0,0,0,0,7,1,2,6,2,2,3,0,0,3,0,4,0,87,0,0,4,0,1,13,4,5,2,20,1,0,2,0,2,2,6,0,0,6,5,3,0,0,0,1,2,2,0,0,7,1,1,0,0,0,0,24,3,1,0,0
13,13,6,13.0,4,1,5908.692307692308,10848.0,48641,0.600031325049598,704,5890.846153846154,48641,76616,0.0030280881278062,45972,0.1336143886394487,0.0091886812154119,True,2506.310344827586,10237,45972,29.0,6,0,232,26,29,28,1,False,1,1,0,1,0,1,1,True,1.0,0,271,0,271,62,3,2,283,558,4,81,119,3,11,43,54,305,9,37,27,5,31,1,3,1,113,138,83,1,606,27,1,238,88,83,88,27,24,1,88,1227,8,4,40,0,273,1,5,1,0,0,97,307,0,4,702,1,341,1,1,5,62,1,84,18,51,21,27,1,114,9,8,0,6,388,26,0,153,4,9,80,81,82,83,81,81,57,81,1,0,0,21,0,20,3,1,0,5,0,5,15,0,63,71,0,98,3,1,345,28,1,22,0,0,123,1,70,1,763,0,0,4,1,0,0,10,6,31,0,8,2,1,8,1,1,49,14,32,1,2,30,4,1,0,1,0,2,8,0,102,99,7,0,11,0,0,352,0,1,8,0
13,13,6,13.0,4,1,2644.076923076923,10640.0,16017,0.3668738536784185,128,2612.692307692308,16017,39256,0.0103933156714897,14402,0.0973099653556144,0.0032606480538006,True,1021.0333333333332,3820,14402,30.0,7,0,408,27,30,28,2,False,1,1,0,1,0,1,1,True,1.0,1,171,0,171,15,1,0,11,15,2,19,10,20,29,2,1,0,5,0,23,24,6,14,19,15,5,16,78,14,93,40,23,43,20,78,86,2,2,2,97,103,5,52,20,0,5,15,24,23,26,40,82,30,0,28,52,15,19,1,24,3,25,23,60,11,41,9,84,18,75,2,7,8,5,6,32,21,31,52,13,47,48,49,49,48,48,2,48,0,0,6,11,21,0,0,0,0,4,2,0,2,0,0,5,0,14,4,15,21,0,1,0,0,0,7,0,6,1,188,0,0,16,0,5,0,0,20,2,22,8,0,6,0,0,4,2,2,0,11,26,21,0,1,7,3,9,14,3,0,54,13,6,1,0,0,3,39,10,2,0,0
13,13,6,13.0,4,1,32122.53846153846,21408.0,204053,0.5595895087986388,2552,28138.46153846154,204053,357328,0.1448752966462186,199957,0.2626746294720817,0.0071418976402632,True,13036.290322580646,93861,199957,31.0,8,0,51768,28,31,28,3,False,1,1,0,1,0,1,1,True,1.0,8,752,0,752,104,15,18,173,554,13,137,368,77,441,159,163,1368,129,4,171,256,100,140,238,180,115,154,599,140,1248,205,218,404,372,599,338,76,61,90,406,1041,91,509,76,0,57,164,256,218,405,75,645,467,0,229,418,180,520,7,369,40,167,218,265,9,110,115,457,217,355,61,126,77,81,414,52,136,411,509,35,124,125,127,128,125,126,108,125,46,0,24,220,137,24,1,15,11,54,16,68,21,0,68,114,30,291,49,134,349,47,15,22,2,34,221,3,256,32,3815,0,6,144,45,30,12,10,231,24,190,71,5,18,1,3,107,219,31,28,158,150,275,6,16,41,31,95,115,86,10,354,187,38,2,47,7,24,1062,95,105,20,0
13,13,6,13.0,4,1,68385.30769230769,37488.0,532485,0.6442653859662816,21560,63694.15384615384,532485,819968,0.0743638776147361,528277,0.1500119516859194,0.0262937090227911,True,27969.83870967742,123005,528277,31.0,8,0,60976,28,31,28,3,False,1,1,0,1,0,1,1,True,1.0,11,1665,0,1665,181,56,23,309,679,27,196,847,289,1008,248,392,1406,340,30,497,640,212,466,641,604,223,332,1372,468,2311,690,789,1184,816,1372,789,175,59,238,1113,1925,262,1601,284,0,138,609,640,793,958,230,1420,702,0,758,1318,607,759,9,998,26,431,797,538,4,396,251,1341,731,1029,193,289,289,127,504,524,494,1159,1601,143,128,129,130,131,129,129,114,129,78,0,154,879,372,27,5,57,94,166,88,284,102,0,138,139,83,1009,269,475,871,90,109,22,9,200,444,17,808,62,6966,0,46,492,191,54,25,44,706,106,651,306,4,41,2,18,400,387,40,27,340,512,940,15,73,123,50,325,416,194,36,1054,383,55,24,50,21,83,2370,116,262,36,0
13,13,6,13.0,4,1,1556.3846153846157,10336.0,5992,0.1509609654350417,9,1549.6923076923076,5992,26848,0.00238379022646,4053,0.081011620977354,0.0003352205005959,True,539.1,2175,4053,30.0,7,0,64,27,30,28,2,False,1,1,0,1,0,1,1,True,1.0,0,96,0,96,6,0,0,0,1,4,10,4,9,9,0,0,0,1,1,8,9,26,3,6,5,0,0,51,3,40,16,6,33,3,51,52,0,4,0,55,30,1,9,16,0,5,3,9,6,10,9,57,0,0,3,37,5,15,0,12,28,7,6,43,165,5,0,61,7,35,5,1,0,10,1,7,5,4,9,7,39,40,41,42,40,40,0,40,0,0,1,16,14,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,4,1,2,0,0,1,0,0,0,0,7,0,0,1,0,3,0,0,2,4,14,0,0,1,0,0,2,0,0,0,3,5,6,1,0,0,1,6,4,0,0,8,0,5,0,0,0,0,9,4,1,0,0
13,13,6,13.0,4,1,1486.2307692307693,12448.0,6773,0.2110856042654028,16,1481.3076923076924,6773,27008,0.0017772511848341,5701,0.0855672393364928,0.0005924170616113,True,513.3225806451613,2311,5701,31.0,7,0,48,27,31,29,2,False,1,1,0,1,0,1,1,True,1.0,0,72,0,72,6,1,0,1,0,0,12,71,4,13,0,5,1,1,1,17,27,23,3,10,3,4,9,36,3,35,15,3,19,7,36,40,0,3,0,38,74,0,8,7,0,4,3,27,3,28,0,48,14,0,4,64,3,14,0,6,12,10,3,35,33,0,1,54,3,47,0,1,0,5,0,10,0,6,8,7,30,31,32,33,31,31,2,31,4,0,1,6,2,0,0,0,0,4,0,0,11,0,0,0,0,1,0,3,8,3,1,1,0,0,5,0,0,1,28,0,0,3,0,0,0,0,1,1,13,3,0,1,0,0,3,3,0,0,3,4,5,0,0,0,2,1,1,0,0,7,2,2,0,0,0,0,25,0,5,0,0
13,13,6,13.0,4,1,2274.538461538461,11584.0,9365,0.2413883089770355,3632,2272.076923076923,9365,34488,0.0004639294827186,8325,0.1053119925771282,0.1053119925771282,True,915.4827586206897,3632,8325,29.0,6,0,16,26,29,28,1,False,1,1,0,1,0,1,1,True,1.0,0,87,0,87,9,1,0,3,0,0,10,23,1,18,0,2,0,2,0,16,12,10,5,12,15,3,6,46,5,89,13,26,36,14,46,47,0,2,0,53,80,3,27,6,0,3,6,12,26,9,11,52,0,0,16,48,15,19,0,14,3,24,26,39,0,11,1,56,8,41,1,15,1,7,0,28,16,5,27,8,29,30,31,32,30,30,1,30,0,0,1,5,2,0,0,0,0,1,0,1,1,0,0,0,0,18,0,14,19,0,2,0,0,0,0,0,8,0,80,0,0,7,0,2,1,0,6,2,10,4,0,2,0,0,17,0,0,0,10,24,26,0,0,1,1,8,10,0,0,32,10,1,2,1,0,1,23,0,6,0,0
13,13,6,13.0,4,1,3542.538461538461,14144.0,23345,0.4542965459140691,160,3505.6153846153848,23345,47480,0.0101095197978096,21570,0.1283066554338668,0.0033698399326032,True,1396.1666666666667,6092,21570,30.0,7,0,480,27,30,28,2,False,1,1,0,1,0,1,1,True,1.0,1,188,0,188,17,3,1,12,21,2,18,15,21,32,4,3,0,6,0,39,30,12,16,24,20,10,9,101,16,133,45,29,70,19,101,94,4,4,6,110,123,2,58,29,0,10,16,30,29,39,46,109,33,0,25,55,20,37,1,31,6,33,29,68,126,45,13,114,23,88,30,16,12,7,14,28,27,33,58,12,52,53,54,54,53,53,2,53,4,0,14,16,27,0,0,0,0,5,3,0,3,0,14,7,0,19,6,18,51,3,2,1,0,0,14,0,10,5,242,0,0,22,1,4,0,2,38,2,41,11,0,9,0,0,8,4,2,0,18,28,29,0,1,16,3,12,19,7,0,64,12,7,1,0,12,2,66,9,1,0,0
13,13,6,13.0,4,1,1004.0769230769232,6528.0,4033,0.1967325645249862,16,999.1538461538462,4033,14568,0.0032948929159802,2866,0.0461971444261394,0.00109829763866,True,335.3,673,2866,30.0,7,0,48,27,30,28,2,False,1,1,0,1,0,1,1,True,1.0,0,84,0,84,7,1,0,2,13,0,10,11,3,4,0,0,0,1,0,9,7,19,3,6,5,2,4,39,3,30,14,5,26,8,39,41,0,2,0,45,28,1,11,3,0,3,3,7,5,3,0,42,17,0,10,37,5,4,0,3,0,1,5,39,0,0,0,43,6,48,2,2,0,4,9,9,4,6,11,9,33,34,35,35,34,34,0,34,0,0,0,11,19,1,0,0,0,2,0,0,0,0,0,0,0,5,0,3,3,1,1,1,0,0,0,0,2,0,9,0,0,0,0,1,0,0,1,1,14,3,0,1,0,0,4,0,0,0,2,5,6,0,0,1,1,1,2,1,0,13,2,4,0,0,0,0,20,11,1,0,0
13,13,6,13.0,4,1,969.6153846153846,6448.0,4080,0.1571938495332235,16,964.6923076923076,4080,14568,0.0032948929159802,2290,0.057386051619989,0.00109829763866,True,317.4,836,2290,30.0,7,0,48,27,30,28,2,False,1,1,0,1,0,1,1,True,1.0,0,77,0,77,7,0,0,0,9,0,7,7,3,5,0,0,0,1,1,18,7,18,2,2,4,1,3,36,2,27,9,4,23,9,36,41,0,2,0,42,31,1,5,3,0,3,2,7,4,1,0,39,18,0,4,24,4,7,0,2,0,1,4,35,15,0,0,42,4,54,1,1,0,3,4,15,1,7,5,8,32,33,34,35,33,33,1,33,0,0,0,6,15,0,0,0,0,2,0,0,0,0,0,1,2,3,0,2,3,0,1,0,0,0,0,0,0,0,11,0,0,2,0,2,0,0,6,1,14,0,0,1,0,0,2,0,0,0,1,3,4,0,0,0,1,2,1,0,0,12,1,2,0,0,0,0,21,8,1,0,0
13,13,6,13.0,4,1,683.7692307692307,5088.0,2552,0.1291621179039301,24,679.4615384615385,2552,14656,0.0032751091703056,1893,0.0281113537117903,0.0016375545851528,True,210.4,412,1893,30.0,6,0,48,26,30,29,1,False,1,1,0,1,0,1,1,True,1.0,0,42,0,42,5,0,0,1,0,0,5,3,2,4,0,0,0,2,0,4,6,16,3,2,3,1,1,19,3,41,7,3,4,4,19,24,0,2,0,27,17,0,5,6,0,3,3,6,3,3,0,22,0,0,1,14,3,1,0,5,0,3,3,17,23,0,0,22,4,46,0,0,0,3,0,10,2,4,5,8,14,15,16,17,15,15,0,15,0,0,0,3,5,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,9,0,1,0,0,0,1,0,2,0,13,0,0,0,0,1,0,0,0,1,6,1,0,1,0,0,3,1,0,0,2,4,3,0,0,1,2,0,3,0,0,6,0,1,0,0,0,0,9,1,1,0,0
13,13,6,13.0,4,1,2481.3076923076924,11424.0,13893,0.3091109064865971,48,2382.230769230769,13893,39096,0.0325352977286678,12085,0.1530847145488029,0.0012277470841006,True,1002.8620689655172,5985,12085,29.0,6,0,1272,26,29,28,1,False,1,1,0,1,0,1,1,True,1.0,0,135,0,135,9,1,0,0,9,0,15,70,9,18,1,2,1,5,0,14,13,10,10,10,13,9,12,77,10,124,44,19,56,17,77,72,4,3,7,74,103,8,32,19,0,6,15,13,19,26,5,82,21,0,14,89,13,22,0,14,0,9,19,60,21,4,4,93,21,32,0,5,4,4,3,11,21,38,32,7,53,54,55,56,54,54,0,54,1,0,4,27,14,0,0,0,1,21,4,0,3,0,0,1,0,13,3,11,19,1,2,0,0,0,5,1,1,1,96,0,0,30,1,4,0,0,10,15,19,4,0,1,0,0,6,7,0,0,6,18,20,0,1,4,3,11,6,3,0,45,0,4,0,1,0,6,49,6,6,0,0
13,13,6,13.0,4,1,1203.7692307692307,9824.0,6101,0.2705588610284742,16,1203.1538461538462,6101,18824,0.0004249893752656,5093,0.0851572460688482,0.0008499787505312,True,407.9354838709677,1603,5093,31.0,7,0,8,27,31,29,2,False,1,1,0,1,0,1,1,True,1.0,0,67,0,67,7,0,0,0,2,0,11,46,53,7,1,0,0,2,0,26,6,10,2,2,2,0,3,31,2,26,17,2,90,3,31,36,0,3,0,37,58,0,1,2,0,3,3,6,2,1,3,38,5,0,1,27,2,9,0,1,1,4,2,31,53,2,0,38,3,57,0,0,2,3,0,7,6,9,1,7,28,29,30,31,29,29,0,29,0,0,3,3,29,0,0,0,0,41,1,0,1,0,0,0,0,1,0,1,34,0,1,0,0,0,0,0,0,0,15,0,0,11,0,1,0,0,8,1,29,1,0,1,0,0,1,0,0,0,1,2,2,0,0,1,1,1,2,0,0,44,0,1,0,0,0,0,23,4,1,0,0
13,13,6,13.0,4,1,9488.692307692309,52784.0,50053,0.3728671395705521,44,9453.307692307691,50053,125184,0.0035148261758691,46677,0.0527862985685071,0.0003514826175869,True,3802.766666666667,6608,46677,30.0,7,0,440,27,30,28,2,False,1,1,0,1,0,1,1,True,1.0,11,417,0,417,16,2,0,23,55,1,27,85,27,42,32,20,12,46,0,43,44,37,49,47,54,9,25,193,49,411,62,82,117,21,193,179,10,5,9,208,452,48,198,92,0,5,60,44,82,79,21,203,98,0,129,123,54,231,6,88,10,49,82,135,30,60,27,125,82,246,15,39,12,8,28,33,98,48,198,10,102,103,104,104,103,103,0,103,0,0,4,56,35,0,2,1,0,7,0,6,1,0,1,2,1,39,1,31,107,9,7,1,0,0,21,0,26,0,574,0,0,26,5,15,0,0,39,8,48,37,0,64,0,0,23,37,0,0,32,48,76,5,3,10,5,37,62,1,0,69,25,14,1,0,0,2,398,6,9,5,0
13,13,6,13.0,4,1,21978.846153846152,46624.0,48145,0.3274795189123235,256,11524.076923076924,152696,137688,0.9871012724420428,135912,0.1154639474754517,0.0018592760443902,True,8843.933333333332,15898,45090,30.0,7,0,135912,27,30,28,2,False,1,1,0,1,0,1,1,True,1.0,1,472,0,472,35,2,0,14,98,1,26,133,8,66,4,8,4,5,13,67,47,21,20,65,30,41,41,217,20,471,105,49,239,61,217,200,11,12,3,236,454,12,132,35,0,30,32,47,49,89,8,227,149,0,81,139,30,119,0,98,4,155,49,120,744,81,41,99,34,279,8,3,3,18,68,46,41,148,132,13,92,93,94,95,93,93,5,93,2,0,5,69,68,2,0,0,5,4,4,5,2,0,0,3,3,41,1,22,63,6,2,2,0,5,8,0,29,5,310,0,2,65,4,7,0,2,89,4,32,16,4,6,0,0,15,23,2,0,35,33,53,0,4,5,1,20,28,12,0,107,11,5,0,0,0,1,219,85,3,0,0
13,13,6,13.0,4,1,2336.076923076923,15072.0,13685,0.3262886025327705,976,2321.3076923076924,13685,36008,0.0048878027105087,11749,0.0886469673405909,0.0271050877582759,True,904.5666666666668,3192,11749,30.0,7,0,176,27,30,28,2,False,1,1,0,1,0,1,1,True,1.0,0,127,0,127,10,2,1,14,11,0,7,35,12,29,0,2,4,5,0,24,22,9,10,10,13,15,12,80,10,40,34,15,34,28,80,67,1,2,3,66,126,16,29,2,0,10,11,22,15,10,4,86,19,0,18,38,13,47,0,17,3,26,15,71,170,8,1,97,18,37,13,5,4,3,5,9,14,49,29,8,57,58,59,60,58,58,1,58,0,0,1,25,26,0,0,0,0,6,0,0,1,0,1,3,0,7,0,6,20,2,1,2,0,0,3,0,1,0,91,0,0,4,1,6,0,0,8,3,29,5,1,3,0,0,3,3,0,0,10,13,17,0,0,1,3,7,9,0,0,30,0,3,0,0,0,0,57,9,4,0,0
13,13,6,13.0,4,1,1117.0,11792.0,5496,0.1180335097001763,16,1115.7692307692307,5496,22680,0.000705467372134,2677,0.0265873015873015,0.000705467372134,True,396.3103448275862,603,2677,29.0,6,0,16,26,29,28,1,False,1,1,0,1,0,1,1,True,1.0,0,108,0,108,6,0,0,0,7,0,7,21,1,6,0,1,0,2,0,12,6,11,2,3,2,3,1,54,2,23,22,4,9,11,54,59,0,2,0,59,41,0,3,5,0,3,3,6,4,3,13,58,15,0,2,25,2,14,0,2,0,3,4,52,0,4,0,62,2,34,0,0,1,3,2,5,3,11,3,7,48,49,51,52,49,50,2,49,0,0,1,9,15,2,0,0,0,3,0,0,0,0,0,0,0,1,0,3,3,4,2,0,0,0,0,0,1,0,14,0,0,3,0,1,0,1,3,1,14,0,0,1,0,0,1,1,0,0,2,2,4,0,0,2,1,2,1,0,0,7,1,2,0,0,0,0,25,7,1,0,0
